1071	16	33
826	200	94
618	346	156
623	289	208
619	237	264
622	181	317
619	127	374
646	60	414
673	14	433
702	0	418
717	0	403
733	1	386
741	0	379
766	0	354
784	0	336
804	0	316
823	0	297
834	0	286
847	0	273
871	0	249
886	0	234
894	1	225
913	0	207
918	0	202
935	0	185
946	3	171
935	14	171
850	69	201
684	191	245
643	200	277
640	168	312
631	131	358
648	82	390
662	33	425
721	0	399
742	0	378
766	1	353
771	6	343
777	5	338
792	1	327
805	0	315
820	3	297
838	0	282
847	0	273
860	0	260
876	0	244
890	0	230
868	20	232
826	37	257
780	52	288
716	85	319
676	81	363
698	36	386
735	2	383
760	0	360
791	0	329
817	0	303
839	1	280
854	1	265
876	0	244
873	8	239
901	0	219
905	0	215
919	0	201
928	0	192
943	2	175
908	29	183
866	40	214
777	90	253
672	155	293
643	148	329
641	107	372
663	57	400
694	8	418
723	0	397
740	0	380
755	0	365
777	0	343
791	0	329
812	0	308
828	0	292
847	0	273
857	0	263
874	0	246
888	0	232
912	0	208
923	0	197
929	0	191
943	0	177
955	0	165
961	0	159
969	4	147
981	2	137
1003	0	117
1015	0	105
1003	10	107
943	41	136
807	135	178
649	253	218
631	227	262
632	183	305
628	137	355
639	85	396
657	27	436
709	0	411
722	0	398
737	0	383
753	0	367
780	0	340
788	0	332
792	4	324
802	4	314
814	3	303
837	0	283
860	0	260
866	4	250
872	5	243
888	4	228
865	19	236
830	31	259
806	36	278
799	23	298
841	0	279
860	0	260
893	0	227
913	2	205
898	13	209
889	16	215
871	20	229
827	41	252
790	49	281
754	54	312
676	97	347
661	74	385
671	36	413
698	7	415
726	0	394
743	0	377
759	0	361
787	0	333
810	0	310
829	0	291
842	0	278
857	0	263
890	0	230
904	0	216
874	22	224
856	24	240
832	35	253
738	93	289
690	93	337
680	74	366
663	47	410
700	6	414
733	0	387
753	0	367
767	0	353
789	0	331
806	0	314
827	0	293
842	0	278
855	0	265
873	0	247
881	0	239
896	0	224
908	0	212
918	0	202
924	0	196
939	0	181
955	0	165
954	2	164
973	0	147
981	0	139
1002	0	118
1021	0	99
1027	2	91
1046	1	73
1056	0	64
1065	0	55
1049	15	56
920	103	97
641	323	156
625	289	206
623	239	258
632	187	301
624	144	352
643	82	395
661	24	435
695	0	425
709	0	411
716	0	404
734	0	386
751	0	369
762	0	358
770	0	350
790	0	330
808	0	312
820	0	300
839	1	280
862	0	258
875	1	244
889	0	231
887	11	222
858	24	238
766	77	277
687	121	312
676	104	340
676	72	372
697	33	390
732	7	381
770	0	350
791	1	328
818	1	301
831	0	289
849	0	271
864	0	256
880	0	240
889	1	230
902	0	218
917	0	203
925	1	194
935	0	185
944	0	176
957	0	163
912	35	173
802	101	217
660	196	264
626	181	313
636	131	353
654	81	385
677	28	415
701	4	415
733	0	387
753	1	366
774	0	346
797	0	323
820	0	300
833	0	287
841	0	279
851	0	269
855	5	260
857	3	260
874	0	246
892	0	228
905	0	215
923	0	197
934	0	186
943	1	176
961	2	157
931	28	161
881	53	186
786	113	221
651	202	267
640	175	305
641	140	339
651	96	373
664	39	417
712	4	404
738	1	381
757	0	363
770	0	350
781	3	336
800	0	320
811	0	309
824	0	296
839	2	279
850	0	270
869	0	251
881	0	239
897	1	222
917	0	203
927	0	193
942	0	178
951	0	169
966	0	154
935	31	154
819	110	191
682	211	227
633	218	269
639	176	305
635	139	346
638	91	391
655	42	423
700	2	418
724	0	396
740	0	380
760	0	360
773	1	346
793	0	327
785	9	326
814	0	306
827	0	293
836	11	273
854	1	265
837	21	262
811	36	273
802	24	294
811	10	299
789	27	304
766	35	319
767	16	337
773	13	334
801	1	318
822	1	297
853	0	267
872	0	248
895	0	225
886	9	225
866	27	227
831	45	244
787	54	279
729	70	321
681	79	360
678	55	387
707	17	396
729	0	391
748	0	372
770	0	350
781	0	339
798	0	322
820	0	300
836	0	284
857	0	263
850	13	257
